Unnamed: 0,posteam,home_team,home_wp,away_wp,yardline_100,home_timeouts_remaining,away_timeouts_remaining,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,qtr,down,goal_to_go,ydstogo,play_type,score_differential,shotgun,no_huddle
943,MIN,MIN,0.5,0.5,75.0,3,3,900.0,1800.0,3600.0,1,1.0,0.0,10,pass,0.0,1,0
944,MIN,MIN,0.54,0.46,66.0,3,3,861.0,1761.0,3561.0,1,2.0,0.0,1,run,0.0,0,0
945,MIN,MIN,0.54,0.46,64.0,3,3,822.0,1722.0,3522.0,1,1.0,0.0,10,pass,0.0,0,0
946,MIN,MIN,0.57,0.43,52.0,3,3,787.0,1687.0,3487.0,1,1.0,0.0,10,run,0.0,0,0
947,MIN,MIN,0.55,0.45,51.0,3,3,750.0,1650.0,3450.0,1,2.0,0.0,9,run,0.0,1,0
948,MIN,MIN,0.54,0.46,48.0,3,3,703.0,1603.0,3403.0,1,3.0,0.0,6,pass,0.0,1,0
949,MIN,MIN,0.61,0.39,34.0,3,3,662.0,1562.0,3362.0,1,1.0,0.0,10,pass,0.0,1,0
950,MIN,MIN,0.58,0.42,40.0,3,3,623.0,1523.0,3323.0,1,2.0,0.0,16,run,0.0,0,0
951,MIN,MIN,0.56,0.44,38.0,3,3,583.0,1483.0,3283.0,1,3.0,0.0,14,pass,0.0,1,0
960,MIN,MIN,0.54,0.46,70.0,3,3,437.0,1337.0,3137.0,1,1.0,0.0,10,run,0.0,1,0
961,MIN,MIN,0.53,0.47,66.0,3,3,412.0,1312.0,3112.0,1,2.0,0.0,6,pass,0.0,0,1
962,MIN,MIN,0.59,0.41,48.0,3,3,367.0,1267.0,3067.0,1,1.0,0.0,10,pass,0.0,1,0
963,MIN,MIN,0.62,0.38,34.0,3,3,326.0,1226.0,3026.0,1,1.0,0.0,10,run,0.0,0,0
964,MIN,MIN,0.62,0.38,28.0,3,3,290.0,1190.0,2990.0,1,2.0,0.0,4,run,0.0,0,0
965,MIN,MIN,0.58,0.42,30.0,3,3,244.0,1144.0,2944.0,1,3.0,0.0,6,pass,0.0,1,0
973,MIN,MIN,0.67,0.33,53.0,3,3,71.0,971.0,2771.0,1,1.0,0.0,10,run,3.0,0,0
974,MIN,MIN,0.67,0.33,47.0,3,3,36.0,936.0,2736.0,1,2.0,0.0,4,run,3.0,1,0
976,MIN,MIN,0.65,0.35,46.0,3,3,900.0,900.0,2700.0,2,3.0,0.0,3,pass,3.0,1,0
977,MIN,MIN,0.71,0.29,29.0,3,3,867.0,867.0,2667.0,2,1.0,0.0,10,pass,3.0,1,0
978,MIN,MIN,0.69,0.31,29.0,3,3,862.0,862.0,2662.0,2,2.0,0.0,10,run,3.0,0,0
979,MIN,MIN,0.69,0.31,22.0,3,3,824.0,824.0,2624.0,2,3.0,0.0,3,pass,3.0,1,0
991,MIN,MIN,0.74,0.26,75.0,3,3,702.0,702.0,2502.0,2,1.0,0.0,10,pass,7.0,1,0
992,MIN,MIN,0.78,0.22,60.0,3,3,664.0,664.0,2464.0,2,1.0,0.0,10,run,7.0,0,0
993,MIN,MIN,0.8,0.2,52.0,3,3,633.0,633.0,2433.0,2,2.0,0.0,2,run,7.0,0,0
1012,MIN,MIN,0.74,0.26,98.0,3,1,138.0,138.0,1938.0,2,1.0,0.0,10,run,7.0,0,0
1014,MIN,MIN,0.73,0.27,96.0,3,1,120.0,120.0,1920.0,2,2.0,0.0,8,pass,7.0,0,0
1015,MIN,MIN,0.72,0.28,96.0,3,1,116.0,116.0,1916.0,2,3.0,0.0,8,pass,7.0,1,0
1016,MIN,MIN,0.75,0.25,81.0,3,1,87.0,87.0,1887.0,2,1.0,0.0,10,pass,7.0,1,1
1017,MIN,MIN,0.74,0.26,81.0,3,1,84.0,84.0,1884.0,2,2.0,0.0,10,pass,7.0,1,0
1018,MIN,MIN,0.73,0.27,81.0,3,1,80.0,80.0,1880.0,2,3.0,0.0,10,run,7.0,1,0
1020,MIN,MIN,0.76,0.24,73.0,3,1,73.0,73.0,1873.0,2,1.0,0.0,15,pass,7.0,1,0
1022,MIN,MIN,0.78,0.22,57.0,2,1,64.0,64.0,1864.0,2,1.0,0.0,10,pass,7.0,1,0
1023,MIN,MIN,0.78,0.22,54.0,2,1,42.0,42.0,1842.0,2,2.0,0.0,7,pass,7.0,1,0
1025,MIN,MIN,0.8,0.2,40.0,1,1,34.0,34.0,1834.0,2,1.0,0.0,10,pass,7.0,1,0
1026,MIN,MIN,0.78,0.22,46.0,1,1,12.0,12.0,1812.0,2,2.0,0.0,16,pass,7.0,1,0
1028,MIN,MIN,0.78,0.22,44.0,0,1,6.0,6.0,1806.0,2,3.0,0.0,14,pass,7.0,1,0
1035,MIN,MIN,0.77,0.23,70.0,3,3,855.0,1755.0,1755.0,3,1.0,0.0,10,pass,7.0,1,0
1036,MIN,MIN,0.79,0.21,62.0,3,3,855.0,1755.0,1755.0,3,2.0,0.0,2,pass,7.0,0,0
1037,MIN,MIN,0.8,0.2,56.0,3,3,796.0,1696.0,1696.0,3,1.0,0.0,10,run,7.0,0,0
1038,MIN,MIN,0.78,0.22,58.0,3,3,750.0,1650.0,1650.0,3,2.0,0.0,12,pass,7.0,1,0
1039,MIN,MIN,0.75,0.25,58.0,3,3,746.0,1646.0,1646.0,3,3.0,0.0,12,pass,7.0,1,0
1053,MIN,MIN,0.84,0.16,75.0,3,2,555.0,1455.0,1455.0,3,1.0,0.0,10,pass,10.0,0,0
1054,MIN,MIN,0.86,0.14,64.0,3,2,521.0,1421.0,1421.0,3,1.0,0.0,10,pass,10.0,0,0
1055,MIN,MIN,0.84,0.16,64.0,3,2,515.0,1415.0,1415.0,3,2.0,0.0,10,run,10.0,1,0
1056,MIN,MIN,0.84,0.16,59.0,3,2,472.0,1372.0,1372.0,3,3.0,0.0,5,pass,10.0,1,0
1057,MIN,MIN,0.9,0.1,25.0,3,2,431.0,1331.0,1331.0,3,1.0,0.0,10,run,10.0,0,0
1058,MIN,MIN,0.9,0.1,18.0,3,2,395.0,1295.0,1295.0,3,2.0,0.0,3,run,10.0,1,0
1059,MIN,MIN,0.89,0.11,16.0,3,2,355.0,1255.0,1255.0,3,3.0,0.0,1,pass,10.0,0,0
1060,MIN,MIN,0.91,0.09,7.0,3,2,326.0,1226.0,1226.0,3,1.0,1.0,7,run,10.0,0,0
1062,MIN,MIN,0.9,0.1,11.0,3,2,267.0,1167.0,1167.0,3,2.0,1.0,11,pass,10.0,1,0
1074,MIN,MIN,0.85,0.15,75.0,3,2,31.0,931.0,931.0,3,1.0,0.0,10,pass,10.0,1,0
1075,MIN,MIN,0.83,0.17,75.0,3,2,27.0,927.0,927.0,3,2.0,0.0,10,run,10.0,0,0
1077,MIN,MIN,0.82,0.18,73.0,3,2,900.0,900.0,900.0,4,3.0,0.0,8,pass,10.0,1,0
1080,MIN,MIN,0.9,0.1,38.0,3,2,877.0,877.0,877.0,4,1.0,0.0,10,run,10.0,0,0
1081,MIN,MIN,0.89,0.11,39.0,3,2,843.0,843.0,843.0,4,2.0,0.0,11,pass,10.0,0,0
1082,MIN,MIN,0.88,0.12,39.0,3,2,837.0,837.0,837.0,4,3.0,0.0,11,pass,10.0,1,0
1097,MIN,MIN,0.81,0.19,75.0,3,2,489.0,489.0,489.0,4,1.0,0.0,10,run,7.0,0,0
1098,MIN,MIN,0.8,0.2,74.0,3,2,446.0,446.0,446.0,4,2.0,0.0,9,pass,7.0,1,1
1099,MIN,MIN,0.77,0.23,74.0,3,2,441.0,441.0,441.0,4,3.0,0.0,9,pass,7.0,1,0
1105,MIN,MIN,0.82,0.18,82.0,3,2,346.0,346.0,346.0,4,1.0,0.0,10,run,7.0,0,0
1106,MIN,MIN,0.85,0.15,73.0,3,2,312.0,312.0,312.0,4,2.0,0.0,1,run,7.0,0,0
1107,MIN,MIN,0.87,0.13,68.0,3,2,269.0,269.0,269.0,4,1.0,0.0,10,run,7.0,0,0
1108,MIN,MIN,0.88,0.12,64.0,3,2,225.0,225.0,225.0,4,2.0,0.0,6,run,7.0,0,0
1109,MIN,MIN,0.88,0.12,63.0,2,2,180.0,180.0,180.0,4,3.0,0.0,5,run,7.0,1,0
1112,MIN,MIN,0.93,0.07,54.0,2,1,174.0,174.0,174.0,4,1.0,0.0,10,run,7.0,0,0
1113,MIN,MIN,0.94,0.06,53.0,2,1,130.0,130.0,130.0,4,2.0,0.0,9,run,7.0,0,0
1115,MIN,MIN,0.94,0.06,50.0,2,1,120.0,120.0,120.0,4,3.0,0.0,6,pass,7.0,1,0
1119,MIN,MIN,0.98,0.02,15.0,2,1,95.0,95.0,95.0,4,1.0,0.0,10,run,7.0,0,0
1121,MIN,MIN,0.98,0.02,13.0,2,0,92.0,92.0,92.0,4,2.0,0.0,8,run,7.0,0,0
1122,MIN,MIN,0.99,0.01,13.0,2,0,48.0,48.0,48.0,4,3.0,0.0,8,run,7.0,0,0
1124,MIN,MIN,1.0,0.0,9.0,1,0,2.0,2.0,2.0,4,4.0,0.0,4,pass,7.0,1,0
4416,MIN,GB,0.52,0.48,92.0,2,3,640.0,1540.0,3340.0,1,1.0,0.0,10,pass,0.0,0,0
4418,MIN,GB,0.52,0.48,89.0,2,3,571.0,1471.0,3271.0,1,1.0,0.0,20,pass,0.0,1,0
4419,MIN,GB,0.54,0.46,88.0,2,3,544.0,1444.0,3244.0,1,2.0,0.0,19,run,0.0,1,0
4420,MIN,GB,0.53,0.47,79.0,2,3,500.0,1400.0,3200.0,1,3.0,0.0,10,pass,0.0,1,0
4423,MIN,GB,0.6,0.4,57.0,2,3,441.0,1341.0,3141.0,1,1.0,0.0,10,pass,-6.0,1,0
